MAIN_ACT,amount,YEAR,
Production of glyoxal and glyoxylic acid,11751,2014,
Production of gypsum or plasterboard,1050883,2014,
Production of hydrogen and synthesis gas,8293359,2014,
Production of metals,19448388,2014,
Production of nitric acid,4186105,2014,
production of pig iron or steel ,112772607,2014,
Production of quicklime,29088940,2014,
Production of sodium carbonates,3584150,2014,
Refining of mineral oil,116048338,2014,
 manufacture of ceramic,13423021,2013,Aviation
 production of pulp or other fibrous materials ,27147845,2013,Combustion of fuels
Aviation,53486897,2013,Prodcution of aluminium
Capture of greenhouse gases ,15387,2013,Production of metals
Combustion installations ,57682780,2013,Production of bulk chemicals
Combustion of fuels,1286276166,2013, manufacture of ceramic
manufacture of glass,17754491,2013, production of pulp or other fibrous materials 
Manufacture of mineral wool,1792739,2013,production of cement clinker 
Metal ore roasting or sintering,2493193,2013,Production of ammonia
Mineral oil refineries,9023614,2013,Production of nitric acid
Other activity,2313837,2013,production of pig iron or steel 
Prodcution of aluminium,9782190,2013, production of pulp or other fibrous materials 
Production of adipic acid,141792,2013,Production of quicklime
Production of ammonia,21053022,2013,production of cement clinker 
Production of bulk chemicals,35704436,2013,Production of gypsum or plasterboard
Production of carbon black,1527618,2013,Other activity
production of cement clinker ,113772980,2013,Refining of mineral oil
Production of coke,11507566,2013,manufacture of glass
Production of glyoxal and glyoxylic acid,10482,2013,Production of metals
Production of gypsum or plasterboard,1071300,2013,Production of hydrogen and synthesis gas
Production of hydrogen and synthesis gas,8557619,2013,Production of carbon black
Production of metals,19190893,2013,Manufacture of mineral wool
Production of nitric acid,4467777,2013,Combustion installations 
production of pig iron or steel ,111566587,2013,Production of sodium carbonates
Production of quicklime,29105855,2013, manufacture of ceramic
Production of sodium carbonates,3410599,2013,manufacture of glass
Refining of mineral oil,119206295,2013,Production of adipic acid
 manufacture of ceramic,8034309,2012,Prodcution of aluminium
 production of pulp or other fibrous materials ,27127770,2012,Production of glyoxal and glyoxylic acid
Aviation,83170543,2012,Production of coke
Capture of greenhouse gases ,16102,2012,Metal ore roasting or sintering
Combustion installations ,72615162,2012,production of pig iron or steel 
Combustion of fuels,1300205043,2012, production of pulp or other fibrous materials 
manufacture of glass,18079282,2012,Mineral oil refineries
Manufacture of mineral wool,1520018,2012,Capture of greenhouse gases 
Metal ore roasting or sintering,2807212,2012,Metal ore roasting or sintering
Mineral oil refineries,8971759,2012,Aviation
Other activity,3002278,2012,Combustion of fuels
Prodcution of aluminium,463093,2012,Prodcution of aluminium
Production of adipic acid,0,2012,Production of metals
Production of ammonia,1972219,2012,Production of bulk chemicals
Production of bulk chemicals,21382793,2012, manufacture of ceramic
Production of carbon black,1473633,2012, production of pulp or other fibrous materials 
production of cement clinker ,117078449,2012,production of cement clinker 
Production of coke,11156800,2012,Production of ammonia
Production of glyoxal and glyoxylic acid,0,2012,Production of nitric acid
Production of gypsum or plasterboard,256712,2012,production of pig iron or steel 
Production of hydrogen and synthesis gas,453829,2012, production of pulp or other fibrous materials 
Production of metals,4288492,2012,Production of quicklime
Production of nitric acid,512605,2012,production of cement clinker 
production of pig iron or steel ,96648089,2012,Production of gypsum or plasterboard
Production of quicklime,26200186,2012,Other activity
Production of sodium carbonates,1120416,2012,Refining of mineral oil
Refining of mineral oil,110710452,2012,manufacture of glass
 manufacture of ceramic,8850745,2011,Production of metals
 production of pulp or other fibrous materials ,27715992,2011,Production of hydrogen and synthesis gas
Aviation,0,2011,Production of carbon black
Capture of greenhouse gases ,15273,2011,Manufacture of mineral wool
Combustion installations ,79898836,2011,Combustion installations 
Combustion of fuels,1299228579,2011,Production of sodium carbonates
manufacture of glass,18812111,2011, manufacture of ceramic
Manufacture of mineral wool,1546049,2011,manufacture of glass
Metal ore roasting or sintering,2909817,2011,Production of adipic acid
Mineral oil refineries,9323242,2011,Prodcution of aluminium
Other activity,4669690,2011,Production of glyoxal and glyoxylic acid
Prodcution of aluminium,313457,2011,Production of coke
Production of adipic acid,0,2011,Metal ore roasting or sintering
Production of ammonia,1915926,2011,production of pig iron or steel 
Production of bulk chemicals,22620421,2011, production of pulp or other fibrous materials 
Production of carbon black,1577517,2011,Mineral oil refineries
production of cement clinker ,124543218,2011,Capture of greenhouse gases 
Production of coke,12306795,2011,Metal ore roasting or sintering
Production of glyoxal and glyoxylic acid,0,2011,Aviation
Production of gypsum or plasterboard,273372,2011,Combustion of fuels
Production of hydrogen and synthesis gas,486984,2011,Prodcution of aluminium
Production of metals,4441565,2011,Production of metals
Production of nitric acid,603682,2011,Production of bulk chemicals
production of pig iron or steel ,99650538,2011, manufacture of ceramic
Production of quicklime,27996554,2011, production of pulp or other fibrous materials 
Production of sodium carbonates,1091176,2011,production of cement clinker 
Refining of mineral oil,113355915,2011,Production of ammonia
 manufacture of ceramic,8475897,2010,Production of nitric acid
 production of pulp or other fibrous materials ,28647849,2010,production of pig iron or steel 
Aviation,0,2010, production of pulp or other fibrous materials 
Capture of greenhouse gases ,16858,2010,Production of quicklime
Combustion installations ,92263639,2010,production of cement clinker 
Combustion of fuels,1313962733,2010,Production of gypsum or plasterboard
manufacture of glass,18233566,2010,Other activity
Manufacture of mineral wool,1477574,2010,Refining of mineral oil
Metal ore roasting or sintering,2699965,2010,manufacture of glass
Mineral oil refineries,9254830,2010,Production of metals
Other activity,4333995,2010,Production of hydrogen and synthesis gas
Prodcution of aluminium,304329,2010,Production of carbon black
Production of adipic acid,0,2010,Manufacture of mineral wool
Production of ammonia,1529279,2010,Combustion installations 
Production of bulk chemicals,23394988,2010,Production of sodium carbonates
Production of carbon black,1623974,2010, manufacture of ceramic
production of cement clinker ,126332186,2010,manufacture of glass
Production of coke,12078333,2010,Production of adipic acid
Production of glyoxal and glyoxylic acid,0,2010,Prodcution of aluminium
Production of gypsum or plasterboard,260576,2010,Production of glyoxal and glyoxylic acid
Production of hydrogen and synthesis gas,598256,2010,Production of coke
Production of metals,5378524,2010,Metal ore roasting or sintering
Production of nitric acid,477463,2010,production of pig iron or steel 
production of pig iron or steel ,99891305,2010, production of pulp or other fibrous materials 
Production of quicklime,26914319,2010,Mineral oil refineries
Production of sodium carbonates,1037087,2010,Capture of greenhouse gases 
Refining of mineral oil,112903926,2010,Metal ore roasting or sintering
 manufacture of ceramic,8203533,2009,Aviation
 production of pulp or other fibrous materials ,26601777,2009,Combustion of fuels
Aviation,0,2009,Prodcution of aluminium
Capture of greenhouse gases ,15596,2009,Production of metals
Combustion installations ,84525838,2009,Production of bulk chemicals
Combustion of fuels,1284887937,2009, manufacture of ceramic
manufacture of glass,17223515,2009, production of pulp or other fibrous materials 
Manufacture of mineral wool,1398595,2009,production of cement clinker 
Metal ore roasting or sintering,2024148,2009,Production of ammonia
Mineral oil refineries,9615597,2009,Production of nitric acid
Other activity,3585624,2009,production of pig iron or steel 
Prodcution of aluminium,275163,2009, production of pulp or other fibrous materials 
Production of adipic acid,0,2009,Production of quicklime
Production of ammonia,1405275,2009,production of cement clinker 
Production of bulk chemicals,22518706,2009,Production of gypsum or plasterboard
Production of carbon black,1283453,2009,Other activity
production of cement clinker ,127769968,2009,Refining of mineral oil
Production of coke,10083554,2009,manufacture of glass
Production of glyoxal and glyoxylic acid,0,2009,Production of metals
Production of gypsum or plasterboard,241088,2009,Production of hydrogen and synthesis gas
Production of hydrogen and synthesis gas,551515,2009,Production of carbon black
Production of metals,8836409,2009,Manufacture of mineral wool
Production of nitric acid,345987,2009,Combustion installations 
production of pig iron or steel ,78118547,2009,Production of sodium carbonates
Production of quicklime,23953487,2009, manufacture of ceramic
Production of sodium carbonates,925510,2009,manufacture of glass
Refining of mineral oil,114894876,2009,Production of adipic acid
 manufacture of ceramic,11211026,2008,Prodcution of aluminium
 production of pulp or other fibrous materials ,29087939,2008,Production of glyoxal and glyoxylic acid
Aviation,0,2008,Production of coke
Capture of greenhouse gases ,14696,2008,Metal ore roasting or sintering
Combustion installations ,93003051,2008,production of pig iron or steel 
Combustion of fuels,1395042830,2008, production of pulp or other fibrous materials 
manufacture of glass,19549976,2008,Mineral oil refineries
Manufacture of mineral wool,1569838,2008,Capture of greenhouse gases 
Metal ore roasting or sintering,2844643,2008,Metal ore roasting or sintering
Mineral oil refineries,10244863,2008,Aviation
Other activity,4975994,2008,Combustion of fuels
Prodcution of aluminium,394446,2008,Prodcution of aluminium
Production of adipic acid,0,2008,Production of metals
Production of ammonia,1734940,2008,Production of bulk chemicals
Production of bulk chemicals,23906939,2008, manufacture of ceramic
Production of carbon black,1480222,2008, production of pulp or other fibrous materials 
production of cement clinker ,158344691,2008,production of cement clinker 
Production of coke,13418628,2008,Production of ammonia
Production of glyoxal and glyoxylic acid,0,2008,Production of nitric acid
Production of gypsum or plasterboard,290525,2008,production of pig iron or steel 
Production of hydrogen and synthesis gas,573229,2008, production of pulp or other fibrous materials 
Production of metals,11197794,2008,Production of quicklime
Production of nitric acid,429288,2008,production of cement clinker 
production of pig iron or steel ,114173274,2008,Production of gypsum or plasterboard
Production of quicklime,30463749,2008,Other activity
Production of sodium carbonates,1149775,2008,Refining of mineral oil
Refining of mineral oil,122377428,2008,manufacture of glass
3853330,Production of metals,2011,Production of metals
486984,Production of hydrogen and synthesis gas,2011,Production of hydrogen and synthesis gas
1577517,Production of carbon black,2011,Production of carbon black
1546049,Manufacture of mineral wool,2011,Manufacture of mineral wool
79898836,Combustion installations ,2011,Combustion installations 
1091176,Production of sodium carbonates,2011,Production of sodium carbonates
1002237, manufacture of ceramic,2011, manufacture of ceramic
770031,manufacture of glass,2011,manufacture of glass
NULL,Production of adipic acid,2011,Production of adipic acid
181720,Prodcution of aluminium,2011,Prodcution of aluminium
NULL,Production of glyoxal and glyoxylic acid,2011,Production of glyoxal and glyoxylic acid
12306795,Production of coke,2011,Production of coke
2889032,Metal ore roasting or sintering,2011,Metal ore roasting or sintering
5050143,production of pig iron or steel ,2011,production of pig iron or steel 
2587310, production of pulp or other fibrous materials ,2011, production of pulp or other fibrous materials 
9323242,Mineral oil refineries,2011,Mineral oil refineries
15273,Capture of greenhouse gases ,2011,Capture of greenhouse gases 
20785,Metal ore roasting or sintering,2011,Metal ore roasting or sintering
0,Aviation,2010,Aviation
1313962733,Combustion of fuels,2010,Combustion of fuels
146214,Prodcution of aluminium,2010,Prodcution of aluminium
599083,Production of metals,2010,Production of metals
23394988,Production of bulk chemicals,2010,Production of bulk chemicals
7530323, manufacture of ceramic,2010, manufacture of ceramic
5480206, production of pulp or other fibrous materials ,2010, production of pulp or other fibrous materials 
6967131,production of cement clinker ,2010,production of cement clinker 
1529279,Production of ammonia,2010,Production of ammonia
477463,Production of nitric acid,2010,Production of nitric acid
94868330,production of pig iron or steel ,2010,production of pig iron or steel 
20477993, production of pulp or other fibrous materials ,2010, production of pulp or other fibrous materials 
26914319,Production of quicklime,2010,Production of quicklime
119365055,production of cement clinker ,2010,production of cement clinker 
260576,Production of gypsum or plasterboard,2010,Production of gypsum or plasterboard
4333995,Other activity,2010,Other activity
112903926,Refining of mineral oil,2010,Refining of mineral oil
17483920,manufacture of glass,2010,manufacture of glass
4779441,Production of metals,2010,Production of metals
598256,Production of hydrogen and synthesis gas,2010,Production of hydrogen and synthesis gas
1623974,Production of carbon black,2010,Production of carbon black
1477574,Manufacture of mineral wool,2010,Manufacture of mineral wool
92263639,Combustion installations ,2010,Combustion installations 
1037087,Production of sodium carbonates,2010,Production of sodium carbonates
945574, manufacture of ceramic,2010, manufacture of ceramic
749646,manufacture of glass,2010,manufacture of glass
NULL,Production of adipic acid,2010,Production of adipic acid
158115,Prodcution of aluminium,2010,Prodcution of aluminium
NULL,Production of glyoxal and glyoxylic acid,2010,Production of glyoxal and glyoxylic acid
12078333,Production of coke,2010,Production of coke
2678511,Metal ore roasting or sintering,2010,Metal ore roasting or sintering
5022975,production of pig iron or steel ,2010,production of pig iron or steel 
2689650, production of pulp or other fibrous materials ,2010, production of pulp or other fibrous materials 
9254830,Mineral oil refineries,2010,Mineral oil refineries
16858,Capture of greenhouse gases ,2010,Capture of greenhouse gases 
21454,Metal ore roasting or sintering,2010,Metal ore roasting or sintering
NULL,Aviation,2009,Aviation
1284887937,Combustion of fuels,2009,Combustion of fuels
123149,Prodcution of aluminium,2009,Prodcution of aluminium
599106,Production of metals,2009,Production of metals
22518706,Production of bulk chemicals,2009,Production of bulk chemicals
7272276, manufacture of ceramic,2009, manufacture of ceramic
5208653, production of pulp or other fibrous materials ,2009, production of pulp or other fibrous materials 
7501784,production of cement clinker ,2009,production of cement clinker 
1405275,Production of ammonia,2009,Production of ammonia
345987,Production of nitric acid,2009,Production of nitric acid
74020312,production of pig iron or steel ,2009,production of pig iron or steel 
18956943, production of pulp or other fibrous materials ,2009, production of pulp or other fibrous materials 
23953487,Production of quicklime,2009,Production of quicklime
120268184,production of cement clinker ,2009,production of cement clinker 
241088,Production of gypsum or plasterboard,2009,Production of gypsum or plasterboard
3585624,Other activity,2009,Other activity
114894876,Refining of mineral oil,2009,Refining of mineral oil
16545723,manufacture of glass,2009,manufacture of glass
8237303,Production of metals,2009,Production of metals
551515,Production of hydrogen and synthesis gas,2009,Production of hydrogen and synthesis gas
1283453,Production of carbon black,2009,Production of carbon black
1398595,Manufacture of mineral wool,2009,Manufacture of mineral wool
84525838,Combustion installations ,2009,Combustion installations 
925510,Production of sodium carbonates,2009,Production of sodium carbonates
931257, manufacture of ceramic,2009, manufacture of ceramic
677792,manufacture of glass,2009,manufacture of glass
NULL,Production of adipic acid,2009,Production of adipic acid
152014,Prodcution of aluminium,2009,Prodcution of aluminium
NULL,Production of glyoxal and glyoxylic acid,2009,Production of glyoxal and glyoxylic acid
10083554,Production of coke,2009,Production of coke
1999210,Metal ore roasting or sintering,2009,Metal ore roasting or sintering
4098235,production of pig iron or steel ,2009,production of pig iron or steel 
2436181, production of pulp or other fibrous materials ,2009, production of pulp or other fibrous materials 
9615597,Mineral oil refineries,2009,Mineral oil refineries
15596,Capture of greenhouse gases ,2009,Capture of greenhouse gases 
24938,Metal ore roasting or sintering,2009,Metal ore roasting or sintering
NULL,Aviation,2008,Aviation
1395042830,Combustion of fuels,2008,Combustion of fuels
173291,Prodcution of aluminium,2008,Prodcution of aluminium
644898,Production of metals,2008,Production of metals
23906939,Production of bulk chemicals,2008,Production of bulk chemicals
9994981, manufacture of ceramic,2008, manufacture of ceramic
5554689, production of pulp or other fibrous materials ,2008, production of pulp or other fibrous materials 
10771574,production of cement clinker ,2008,production of cement clinker 
1734940,Production of ammonia,2008,Production of ammonia
429288,Production of nitric acid,2008,Production of nitric acid
108637093,production of pig iron or steel ,2008,production of pig iron or steel 
20758892, production of pulp or other fibrous materials ,2008, production of pulp or other fibrous materials 
30463749,Production of quicklime,2008,Production of quicklime
147573117,production of cement clinker ,2008,production of cement clinker 
290525,Production of gypsum or plasterboard,2008,Production of gypsum or plasterboard
4975994,Other activity,2008,Other activity
122377428,Refining of mineral oil,2008,Refining of mineral oil
18746991,manufacture of glass,2008,manufacture of glass
10552896,Production of metals,2008,Production of metals
573229,Production of hydrogen and synthesis gas,2008,Production of hydrogen and synthesis gas
1480222,Production of carbon black,2008,Production of carbon black
1569838,Manufacture of mineral wool,2008,Manufacture of mineral wool
93003051,Combustion installations ,2008,Combustion installations 
1149775,Production of sodium carbonates,2008,Production of sodium carbonates
1216045, manufacture of ceramic,2008, manufacture of ceramic
802985,manufacture of glass,2008,manufacture of glass
NULL,Production of adipic acid,2008,Production of adipic acid
221155,Prodcution of aluminium,2008,Prodcution of aluminium
NULL,Production of glyoxal and glyoxylic acid,2008,Production of glyoxal and glyoxylic acid
13418628,Production of coke,2008,Production of coke
2830394,Metal ore roasting or sintering,2008,Metal ore roasting or sintering
5536181,production of pig iron or steel ,2008,production of pig iron or steel 
2774358, production of pulp or other fibrous materials ,2008, production of pulp or other fibrous materials 
10244863,Mineral oil refineries,2008,Mineral oil refineries
14696,Capture of greenhouse gases ,2008,Capture of greenhouse gases 
14249,Metal ore roasting or sintering,2008,Metal ore roasting or sintering
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
,,,10
,,,20
,,,27
,,,28
,,,42
,,,32
,,,35
,,,6
,,,41
,,,38
,,,24
,,,36
,,,30
,,,29
,,,34
,,,99
,,,21
,,,31
,,,25
,,,43
,,,37
,,,33
,,,1
,,,44
,,,8
,,,7
,,,39
,,,26
,,,40
,,,22
,,,23
,,,5
,,,9
,,,2
,,,45
,,,4
